ppa_mult,capex_mult,debt_pct,irr,npv,payback_year,min_dscr
0.9,0.9,0.6,0.08985408186175155,194973.62429536934,1,0.7232851802518284
0.9,0.9,0.7,0.09530140121562615,265260.1781750765,1,0.6199587259301387
0.9,0.9,0.7999999999999999,0.10273065983091355,335546.73205478396,1,0.5424638851888713
0.9,1.0,0.6,0.07975577851179826,-5400.015888308437,1,0.6509566622266456
0.9,1.0,0.7,0.08372807428322834,72696.15508914457,1,0.5579628533371248
0.9,1.0,0.7999999999999999,0.08898174031714322,150792.3260665966,13,0.4882174966699842
0.9,1.1,0.6,0.07122740627673979,-213675.12835236025,1,0.591778783842405
0.9,1.1,0.7,0.07408162646514312,-127769.34027716136,1,0.5072389575792043
0.9,1.1,0.7999999999999999,0.0777663667557663,-41863.5522019637,14,0.4438340878818039
0.95,0.9,0.6,0.09631468746674016,321690.62879949424,1,0.7699479195021124
0.95,0.9,0.7,0.10278413876043664,391977.1826792015,1,0.6599553595732391
0.95,0.9,0.7999999999999999,0.11178516851932976,462263.73655890883,1,0.5774609396265843
0.95,1.0,0.6,0.08555465421487317,122558.5818694476,1,0.6929531275519011
0.95,1.0,0.7,0.09034924142893422,200654.75284690072,1,0.5939598236159153
0.95,1.0,0.7999999999999999,0.0968003087130352,278750.9238243529,1,0.5197148456639259
0.95,1.1,0.6,0.07672518906297401,-79787.65928738154,1,0.6299573886835464
0.95,1.1,0.7,0.08028419029089552,6118.128787816182,1,0.5399634760144684
0.95,1.1,0.7999999999999999,0.08494889068305887,92023.91686301483,13,0.4724680415126599
1.0,0.9,0.6,0.1028233179315561,448407.633303619,1,0.8166106587523964
1.0,0.9,0.7,0.1103869949237407,518694.1871833263,1,0.6999519932163397
1.0,0.9,0.7999999999999999,0.1211265090061118,588980.7410630333,1,0.6124579940642972
1.0,1.0,0.6,0.09133192411839579,249275.58637357305,1,0.7349495928771567
1.0,1.0,0.7,0.09699889547498193,327371.75735102565,1,0.6299567938947057
1.0,1.0,0.7999999999999999,0.10475932657840498,405467.92832847766,1,0.5512121946578675
1.0,1.1,0.6,0.08204753313673177,49830.760176031654,1,0.6681359935246879
1.0,1.1,0.7,0.08633218003314612,135736.5482512297,1,0.5726879944497324
1.0,1.1,0.7999999999999999,0.09203484467366513,221642.33632642764,1,0.5011019951435159
1.05,0.9,0.6,0.10938262343870797,575124.6378077439,1,0.8632733980026803
1.05,0.9,0.7,0.11811507111436494,645411.1916874511,1,0.7399486268594402
1.05,0.9,0.7999999999999999,0.13077227334755748,715697.7455671587,1,0.6474550485020103
1.05,1.0,0.6,0.09714635137887043,375992.5908776976,1,0.7769460582024122
1.05,1.0,0.7,0.10374229367185221,454088.76185514993,1,0.6659537641734962
1.05,1.0,0.7999999999999999,0.11293879287086626,532184.9328326026,1,0.5827095436518092
1.05,1.1,0.6,0.08728527011691743,176860.54394765128,1,0.7063145983658292
1.05,1.1,0.7,0.09232958115621484,262766.332022849,1,0.6054125128849965
1.05,1.1,0.7999999999999999,0.09914987641096007,348672.1200980474,1,0.529735948774372
1.1,0.9,0.6,0.11599483327952989,701841.6423118685,1,0.9099361372529643
1.1,0.9,0.7,0.12597270917650774,772128.1961915758,1,0.7799452605025408
1.1,0.9,0.7999999999999999,0.14073877855023464,842414.7500712833,1,0.6824521029397232
1.1,1.0,0.6,0.1030001188785158,502709.5953818222,1,0.8189425235276678
1.1,1.0,0.7,0.11058358024083685,580805.766359275,1,0.7019507344522867
1.1,1.0,0.7999999999999999,0.12135205672266487,658901.9373367276,1,0.6142068926457509
1.1,1.1,0.6,0.09253993439124937,303577.5484517763,1,0.7444932032069708
1.1,1.1,0.7,0.09838849173249127,389483.33652697405,1,0.6381370313202607
1.1,1.1,0.7999999999999999,0.10642441889125581,475389.12460217247,1,0.5583699024052282
